nave_x,nave_y,jugador_x,jugador_y,bala1_x,bala1_y,velocidad_bala1,saltar,colision_bala1,bala2_x,bala2_y,velocidad_bala2,tecla_izquierda,tecla_ninguna,tecla_derecha
700,300,50,300,745,310,-5,0,0,664,-45,5,0,1,0
700,300,50,300,740,310,-5,0,0,664,-40,5,0,1,0
700,300,50,300,735,310,-5,0,0,664,-35,5,0,1,0
700,300,50,300,730,310,-5,0,0,664,-30,5,0,1,0
700,300,50,300,725,310,-5,0,0,664,-25,5,0,1,0
700,300,50,300,720,310,-5,0,0,664,-20,5,0,1,0
700,300,50,300,715,310,-5,0,0,664,-15,5,0,1,0
700,300,50,300,710,310,-5,0,0,664,-10,5,0,1,0
700,300,50,300,705,310,-5,0,0,664,-5,5,0,1,0
700,300,50,300,700,310,-5,0,0,664,0,5,0,1,0
700,300,50,300,695,310,-5,0,0,664,5,5,0,1,0
700,300,50,300,690,310,-5,0,0,664,10,5,0,1,0
700,300,50,300,685,310,-5,0,0,664,15,5,0,1,0
700,300,50,300,680,310,-5,0,0,664,20,5,0,1,0
700,300,50,300,675,310,-5,0,0,664,25,5,0,1,0
700,300,50,300,670,310,-5,0,0,664,30,5,0,1,0
700,300,50,300,665,310,-5,0,0,664,35,5,0,1,0
700,300,50,300,660,310,-5,0,0,664,40,5,0,1,0
700,300,50,285,655,310,-5,1,0,664,45,5,0,1,0
700,300,50,271,650,310,-5,1,0,664,50,5,0,1,0
700,300,50,258,645,310,-5,1,0,664,55,5,0,1,0
700,300,50,246,640,310,-5,1,0,664,60,5,0,1,0
700,300,50,235,635,310,-5,1,0,664,65,5,0,1,0
700,300,50,225,630,310,-5,1,0,664,70,5,0,1,0
700,300,50,216,625,310,-5,1,0,664,75,5,0,1,0
700,300,50,208,620,310,-5,1,0,664,80,5,0,1,0
700,300,50,201,615,310,-5,1,0,664,85,5,0,1,0
700,300,50,195,610,310,-5,1,0,664,90,5,0,1,0
700,300,50,190,605,310,-5,1,0,664,95,5,0,1,0
700,300,50,186,600,310,-5,1,0,664,100,5,0,1,0
700,300,50,183,595,310,-5,1,0,664,105,5,0,1,0
700,300,50,181,590,310,-5,1,0,664,110,5,0,1,0
700,300,50,180,585,310,-5,1,0,664,115,5,0,1,0
700,300,50,180,580,310,-5,1,0,664,120,5,0,1,0
700,300,50,181,575,310,-5,1,0,664,125,5,0,1,0
700,300,50,183,570,310,-5,1,0,664,130,5,0,1,0
700,300,50,186,565,310,-5,1,0,664,135,5,0,1,0
700,300,50,190,560,310,-5,1,0,664,140,5,0,1,0
700,300,50,195,555,310,-5,1,0,664,145,5,0,1,0
700,300,50,201,550,310,-5,1,0,664,150,5,0,1,0
700,300,50,208,545,310,-5,1,0,664,155,5,0,1,0
700,300,50,216,540,310,-5,1,0,664,160,5,0,1,0
700,300,50,225,535,310,-5,1,0,664,165,5,0,1,0
700,300,50,235,530,310,-5,1,0,664,170,5,0,1,0
700,300,50,246,525,310,-5,1,0,664,175,5,0,1,0
700,300,50,258,520,310,-5,1,0,664,180,5,0,1,0
700,300,50,271,515,310,-5,1,0,664,185,5,0,1,0
700,300,50,285,510,310,-5,1,0,664,190,5,0,1,0
700,300,50,300,505,310,-5,0,0,664,195,5,0,1,0
700,300,50,300,500,310,-5,0,0,664,200,5,0,1,0
700,300,50,300,495,310,-5,0,0,664,205,5,0,1,0
700,300,50,285,490,310,-5,1,0,664,210,5,0,1,0
700,300,50,271,485,310,-5,1,0,664,215,5,0,1,0
700,300,50,258,480,310,-5,1,0,664,220,5,0,1,0
700,300,50,246,475,310,-5,1,0,664,225,5,0,1,0
700,300,50,235,470,310,-5,1,0,664,230,5,0,1,0
700,300,50,225,465,310,-5,1,0,664,235,5,0,1,0
700,300,50,216,460,310,-5,1,0,664,240,5,0,1,0
700,300,50,208,455,310,-5,1,0,664,245,5,0,1,0
700,300,50,201,450,310,-5,1,0,664,250,5,0,1,0
700,300,50,195,445,310,-5,1,0,664,255,5,0,1,0
700,300,50,190,440,310,-5,1,0,664,260,5,0,1,0
700,300,50,186,435,310,-5,1,0,664,265,5,0,1,0
700,300,50,183,430,310,-5,1,0,664,270,5,0,1,0
700,300,50,181,425,310,-5,1,0,664,275,5,0,1,0
700,300,50,180,420,310,-5,1,0,664,280,5,0,1,0
